AG24 Bubble Dancer DLG by Mark Drela
 1.00000     0.00031
 0.99405     0.00104
 0.98204     0.00263
 0.96849     0.00449
 0.95465     0.00642
 0.94077     0.00838
 0.92689     0.01033
 0.91301     0.01226
 0.89912     0.01417
 0.88523     0.01605
 0.87134     0.01791
 0.85745     0.01974
 0.84356     0.02156
 0.82967     0.02336
 0.81578     0.02513
 0.80188     0.02688
 0.80000     0.02711
 0.78799     0.02860
 0.77409     0.03030
 0.76019     0.03196
 0.74628     0.03360
 0.73238     0.03520
 0.71846     0.03678
 0.70455     0.03831
 0.69063     0.03981
 0.67671     0.04128
 0.66279     0.04270
 0.64887     0.04409
 0.63494     0.04543
 0.62102     0.04674
 0.60709     0.04800
 0.59317     0.04921
 0.57924     0.05039
 0.56531     0.05152
 0.55139     0.05260
 0.53746     0.05364
 0.52353     0.05462
 0.50961     0.05556
 0.49568     0.05644
 0.48176     0.05728
 0.46784     0.05805
 0.45392     0.05877
 0.44000     0.05944
 0.42609     0.06004
 0.41218     0.06058
 0.39827     0.06105
 0.38437     0.06146
 0.37048     0.06179
 0.35659     0.06205
 0.34271     0.06223
 0.32884     0.06233
 0.31498     0.06234
 0.30113     0.06225
 0.28730     0.06207
 0.27348     0.06179
 0.25967     0.06139
 0.24589     0.06088
 0.23213     0.06025
 0.21840     0.05948
 0.20470     0.05857
 0.19103     0.05751
 0.17741     0.05629
 0.16385     0.05490
 0.15035     0.05332
 0.13693     0.05155
 0.12361     0.04954
 0.11040     0.04730
 0.09734     0.04478
 0.08446     0.04197
 0.07182     0.03883
 0.05947     0.03532
 0.04753     0.03141
 0.03620     0.02708
 0.02584     0.02239
 0.01713     0.01763
 0.01071     0.01334
 0.00648     0.00986
 0.00376     0.00711
 0.00200     0.00487
 0.00085     0.00296
 0.00020     0.00129
 0.00000    -0.00023
 0.00029    -0.00172
 0.00118    -0.00324
 0.00271    -0.00474
 0.00499    -0.00630
 0.00836    -0.00803
 0.01349    -0.01005
 0.02119    -0.01238
 0.03141    -0.01473
 0.04321    -0.01680
 0.05580    -0.01852
 0.06878    -0.01992
 0.08199    -0.02104
 0.09535    -0.02194
 0.10882    -0.02264
 0.12238    -0.02318
 0.13599    -0.02356
 0.14965    -0.02383
 0.16335    -0.02398
 0.17708    -0.02403
 0.19084    -0.02399
 0.20462    -0.02387
 0.21842    -0.02368
 0.23224    -0.02342
 0.24606    -0.02311
 0.25991    -0.02274
 0.27376    -0.02233
 0.28763    -0.02187
 0.30151    -0.02138
 0.31541    -0.02086
 0.32931    -0.02030
 0.34323    -0.01972
 0.35717    -0.01911
 0.37111    -0.01848
 0.38507    -0.01784
 0.39903    -0.01717
 0.41300    -0.01650
 0.42696    -0.01581
 0.44091    -0.01512
 0.45484    -0.01442
 0.46877    -0.01372
 0.48268    -0.01302
 0.49659    -0.01232
 0.51049    -0.01162
 0.52439    -0.01092
 0.53829    -0.01022
 0.55217    -0.00954
 0.56606    -0.00885
 0.57994    -0.00818
 0.59382    -0.00751
 0.60769    -0.00686
 0.62156    -0.00621
 0.63542    -0.00558
 0.64928    -0.00497
 0.66313    -0.00437
 0.67699    -0.00379
 0.69084    -0.00322
 0.70469    -0.00267
 0.71855    -0.00214
 0.73241    -0.00162
 0.74626    -0.00112
 0.76013    -0.00064
 0.77399    -0.00019
 0.78786     0.00023
 0.80000     0.00057
 0.80173     0.00062
 0.81561     0.00098
 0.82949     0.00129
 0.84337     0.00155
 0.85726     0.00176
 0.87115     0.00191
 0.88505     0.00199
 0.89894     0.00200
 0.91284     0.00192
 0.92674     0.00176
 0.94063     0.00150
 0.95453     0.00115
 0.96840     0.00071
 0.98202     0.00018
 0.99404    -0.00036
 1.00000    -0.00066
